step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
81,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
82,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
83,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
84,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
85,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
86,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
87,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
88,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
89,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
90,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
91,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
92,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
93,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
94,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
95,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
96,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
97,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
98,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
99,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
100,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
101,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
102,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
103,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
104,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
105,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
106,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
107,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
108,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
109,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
110,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
111,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
112,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
113,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
